iter	A(1)	B(1)	A(1.1)	B(1.1)	A(1.2)	B(1.2)	A(1.3)	B(1.3)	A(1.4)	B(1.4)	A(1.5)	B(1.5)	A(1.6)	B(1.6)	A(1.7)	B(1.7)	A(1.8)	B(1.8)	A(1.9)	B(1.9)	A(1.10)	B(1.10)	LnPrior	LnData	LnPosterior
558	-0.00404622	1.259	-0.0367384	1.16511	0.158185	1.43246	-0.136271	1.11704	0.221097	1.29369	0.0577548	1.12658	-0.00774954	1.15102	-0.083473	0.94128	-0.238401	1.07357	0.0501005	1.29995	0.0212129	1.26539	3.257087e+00	1.625722e+02	1.658293e+02
559	-0.00404622	1.259	-0.0367384	1.16042	0.158185	1.43246	-0.127394	1.11704	0.189441	1.29369	0.0612625	1.12319	-0.00668784	1.15102	-0.083473	0.94128	-0.238401	1.073	0.0669754	1.29995	0.0212129	1.26644	3.880079e+00	1.622078e+02	1.660879e+02
560	-0.00404622	1.259	-0.0364188	1.16042	0.158694	1.43246	-0.133486	1.11704	0.21374	1.29369	0.0795924	1.12552	-0.00668784	1.15416	-0.083473	0.94128	-0.224775	1.073	0.0669754	1.29995	0.0263699	1.26644	3.471604e+00	1.638789e+02	1.673505e+02
561	-0.00404622	1.259	-0.0364188	1.16042	0.158694	1.43246	-0.127053	1.11704	0.230504	1.29369	0.0795924	1.12203	-0.00668784	1.14983	-0.083473	0.94128	-0.210229	1.073	0.0669754	1.29995	0.0263699	1.26962	3.460019e+00	1.612020e+02	1.646620e+02
562	-0.00404622	1.24363	-0.0364188	1.16042	0.158694	1.43246	-0.119546	1.11704	0.206375	1.29631	0.0933778	1.12123	-0.00668784	1.15529	-0.083473	0.94128	-0.213543	1.073	0.0669754	1.29995	0.0263699	1.26962	4.150633e+00	1.602977e+02	1.644483e+02
563	-0.00404622	1.24363	-0.045637	1.16042	0.158694	1.43246	-0.118402	1.11704	0.189353	1.29499	0.0933778	1.12123	-0.00668784	1.15828	-0.083473	0.94128	-0.213543	1.073	0.0669754	1.29995	0.0263699	1.26962	4.481605e+00	1.582244e+02	1.627060e+02
564	-0.00404622	1.27186	-0.045637	1.16042	0.160314	1.43246	-0.111333	1.11704	0.189353	1.30111	0.0933778	1.12123	0.00233491	1.15828	-0.0459926	0.94128	-0.232566	1.07491	0.0669754	1.29995	0.0263699	1.26962	3.847354e+00	1.524082e+02	1.562556e+02
565	-0.00404622	1.27186	-0.0263942	1.16265	0.160314	1.43246	-0.111333	1.11704	0.164	1.29426	0.081228	1.12123	0.00233491	1.15828	-0.0798302	0.94128	-0.232566	1.07491	0.0964709	1.29995	0.0263699	1.26962	4.036449e+00	1.533673e+02	1.574038e+02
566	-0.00404622	1.27186	-0.0263942	1.1627	0.166614	1.43246	-0.111333	1.11704	0.17295	1.29426	0.081228	1.12079	-0.0206873	1.15828	-0.0871077	0.94128	-0.232566	1.07255	0.0964709	1.29995	0.0263699	1.26962	3.693684e+00	1.569135e+02	1.606071e+02
567	-0.00404622	1.27186	-0.0263942	1.1627	0.152803	1.43246	-0.111333	1.11704	0.200075	1.29426	0.0947578	1.12079	-0.0206873	1.15048	-0.0871077	0.94128	-0.19342	1.07255	0.0964709	1.29995	0.0170281	1.26962	4.097498e+00	1.585294e+02	1.626269e+02
568	-0.00404622	1.13114	-0.0884323	1.17028	0.152803	1.43246	-0.105385	1.11034	0.184597	1.29426	0.0947578	1.12079	0.0233787	1.15048	-0.0871077	0.943027	-0.209286	1.07255	0.0646386	1.29995	0.0170281	1.26962	4.605209e+00	1.621646e+02	1.667699e+02
569	-0.00404622	1.13114	-0.0884323	1.17028	0.152803	1.43246	-0.105385	1.11034	0.184597	1.29426	0.0947578	1.12079	0.0233787	1.15048	-0.0732795	0.943027	-0.209286	1.07074	0.0646386	1.29995	0.0170281	1.26962	4.707804e+00	1.628568e+02	1.675646e+02
570	-0.00404622	1.13114	-0.0884323	1.17028	0.197441	1.43246	-0.115548	1.11034	0.199008	1.29426	0.0870958	1.12079	0.00403044	1.15048	-0.066756	0.943027	-0.233186	1.07268	0.0646386	1.29995	0.0170281	1.26351	3.172246e+00	1.613638e+02	1.645360e+02
571	-0.00404622	1.13114	-0.0884323	1.16955	0.197441	1.43246	-0.115674	1.10993	0.180207	1.29412	0.0870958	1.12079	0.00403044	1.15048	-0.066756	0.943027	-0.233186	1.07268	0.0646386	1.30074	0.0170281	1.26351	3.532668e+00	1.597592e+02	1.632918e+02
572	-0.00404622	1.13114	-0.0920786	1.17244	0.197441	1.43246	-0.115674	1.10993	0.200315	1.29412	0.10438	1.12079	0.0153916	1.15048	-0.0532176	0.944495	-0.233186	1.07086	0.0646386	1.29446	0.0170281	1.26649	3.015606e+00	1.558429e+02	1.588585e+02
573	-0.00404622	1.13114	-0.0920786	1.17244	0.192176	1.43246	-0.115674	1.10993	0.200315	1.29412	0.066889	1.12539	0.0169514	1.14754	-0.0497244	0.942393	-0.222553	1.0702	0.0646386	1.29446	0.0188135	1.26649	3.695383e+00	1.605742e+02	1.642696e+02
574	-0.00404622	1.13114	-0.0920786	1.17244	0.192176	1.43246	-0.115674	1.10993	0.200315	1.29412	0.0701121	1.12539	0.0223005	1.14754	-0.0497244	0.942393	-0.222553	1.0702	0.0646386	1.30354	0.0188135	1.26611	3.622535e+00	1.618377e+02	1.654602e+02
575	-0.00404622	1.13114	-0.106492	1.17244	0.144649	1.43246	-0.094685	1.10993	0.202994	1.2955	0.0701121	1.12579	0.0223005	1.14754	-0.0827118	0.942393	-0.203875	1.0734	0.0646386	1.30354	0.0327015	1.26611	4.605415e+00	1.623840e+02	1.669894e+02
576	-0.00404622	1.13114	-0.106492	1.17244	0.198082	1.42261	-0.094685	1.10993	0.228875	1.29197	0.0554824	1.12579	0.0223005	1.14754	-0.0827118	0.942393	-0.219305	1.07509	0.0457572	1.30373	0.0327015	1.26611	3.077156e+00	1.621463e+02	1.652235e+02
577	-0.00404622	1.13114	-0.106492	1.17041	0.200266	1.42261	-0.094685	1.10993	0.223061	1.29197	0.0554824	1.12406	0.0223005	1.14754	-0.0827118	0.942393	-0.208017	1.07509	0.0457572	1.30373	0.0327015	1.26778	3.399243e+00	1.601349e+02	1.635341e+02
578	-0.00404622	1.13114	-0.106492	1.17041	0.200266	1.42261	-0.094685	1.10993	0.223061	1.29197	0.0588523	1.12406	0.00918692	1.14754	-0.0827118	0.942393	-0.208017	1.06762	0.0457572	1.29893	0.0128723	1.26433	3.478695e+00	1.598867e+02	1.633654e+02
579	-0.00404622	1.13114	-0.0644261	1.17041	0.200266	1.42261	-0.0829317	1.10993	0.223061	1.28932	0.0588523	1.12406	0.00918692	1.15544	-0.0859891	0.942393	-0.173511	1.06357	0.0914367	1.29893	0.0128723	1.2676	4.195809e+00	1.635532e+02	1.677490e+02
