Results of Simulation 1

Time	Q_inh	Q_brain	Q_muscle	Q_lung	Q_heart	Q_liver	Q_kidney	Q_pancreas	Q_art	Q_ven	Q_stom_lumen	Q_urine	Q_spleen	Q_gut_lumen	Q_urt	Q_gonads
68	2.25	0.0512968	0.182517	0.00172134	0.00721272	0.0590449	0.00338179	0.0047066	0.00130345	0.00569631	0.00419092	2.13106e-06	0.000968232	0.000652503	2.07269e-05	0.000496303
69	2.25	0.0508741	0.183041	0.00170199	0.00711282	0.0582313	0.00334309	0.0046721	0.00128878	0.00563234	0.00414316	2.14192e-06	0.000957025	0.000644794	2.04939e-05	0.000496657
70	2.25	0.0504527	0.183551	0.00168297	0.00701512	0.0574327	0.00330506	0.00463762	0.00127436	0.00556946	0.0040962	2.15265e-06	0.000946005	0.000637214	2.02648e-05	0.000496973
71	2.25	0.0500328	0.184049	0.00166427	0.00691958	0.0566489	0.00326766	0.00460317	0.00126018	0.00550764	0.00405004	2.16326e-06	0.000935169	0.000629762	2.00396e-05	0.000497252
72	2.25	0.0496144	0.184534	0.00164588	0.00682613	0.0558796	0.0032309	0.00456876	0.00124624	0.00544686	0.00400466	2.17375e-06	0.000924516	0.000622435	1.98183e-05	0.000497493
73	2.25	0.0491977	0.185007	0.00162781	0.0067347	0.0551246	0.00319476	0.0045344	0.00123254	0.00538712	0.00396006	2.18412e-06	0.000914041	0.000615233	1.96006e-05	0.000497699
74	2.25	0.0487828	0.185468	0.00161004	0.00664523	0.0543834	0.00315924	0.0045001	0.00121907	0.00532838	0.0039162	2.19438e-06	0.000903743	0.000608151	1.93867e-05	0.000497869
75	2.25	0.0483697	0.185917	0.00159257	0.00655766	0.0536559	0.00312431	0.00446588	0.00120583	0.00527063	0.00387309	2.20452e-06	0.000893618	0.00060119	1.91763e-05	0.000498005
76	2.25	0.0479585	0.186355	0.0015754	0.00647195	0.0529418	0.00308998	0.00443173	0.00119281	0.00521386	0.0038307	2.21455e-06	0.000883664	0.000594346	1.89695e-05	0.000498108
77	2.25	0.0475493	0.186782	0.00155851	0.00638804	0.0522408	0.00305622	0.00439767	0.00118001	0.00515803	0.00378903	2.22447e-06	0.000873877	0.000587617	1.87661e-05	0.000498177
