iter	ka(1)	ke(1)	F(1)	IndexT	LnPseudoPrior(0)	LnPseudoPrior(1)	LnPseudoPrior(2)	LnPseudoPrior(3)	LnPseudoPrior(4)	LnPseudoPrior(5)	LnPseudoPrior(6)	LnPseudoPrior(7)	LnPseudoPrior(8)	LnPseudoPrior(9)	LnPrior	LnData	LnPosterior
810	0.0957021	0.0508722	0.75882	9	-5.566189e+00	6.342663e-01	2.035865e+00	2.522739e+00	2.733517e+00	2.442997e+00	-1.297198e-01	-1.646020e+00	-2.700801e+00	-3.162179e+00	1.911937e+00	3.804678e+01	3.995872e+01
820	0.100437	0.0498745	0.760869	8	-5.554635e+00	6.458204e-01	2.047419e+00	2.534293e+00	2.745071e+00	2.454551e+00	-1.181656e-01	-1.634466e+00	-2.727398e+00	-3.239569e+00	1.883661e+00	3.804848e+01	3.993214e+01
830	0.0932604	0.0516204	0.794623	9	-5.543212e+00	6.572426e-01	2.058841e+00	2.545715e+00	2.756493e+00	2.465974e+00	-1.067435e-01	-1.623044e+00	-2.753704e+00	-3.316062e+00	1.922837e+00	3.795202e+01	3.987486e+01
840	0.0940427	0.052478	0.794102	7	-5.531919e+00	6.685358e-01	2.070135e+00	2.557008e+00	2.767786e+00	2.477267e+00	-1.202531e-01	-1.661356e+00	-2.779756e+00	-3.317240e+00	1.897985e+00	3.445412e+01	3.635211e+01
850	0.0940427	0.0511676	0.76734	9	-5.520752e+00	6.797028e-01	2.081302e+00	2.568175e+00	2.778953e+00	2.488434e+00	-1.214317e-01	-1.674825e+00	-2.805447e+00	-3.355071e+00	1.923442e+00	3.794038e+01	3.986382e+01
860	0.0957232	0.0513239	0.77086	8	-5.509708e+00	6.907466e-01	2.092345e+00	2.579219e+00	2.789997e+00	2.499478e+00	-1.103880e-01	-1.663782e+00	-2.818673e+00	-3.441239e+00	1.902842e+00	3.773402e+01	3.963687e+01
870	0.0990991	0.0506246	0.766433	9	-5.498785e+00	7.016697e-01	2.103268e+00	2.590142e+00	2.800920e+00	2.510401e+00	-9.946491e-02	-1.652859e+00	-2.855837e+00	-3.502382e+00	1.882124e+00	3.812858e+01	4.001070e+01
880	0.0963322	0.0505238	0.766433	7	-5.487980e+00	7.124747e-01	2.114074e+00	2.600947e+00	2.811725e+00	2.521206e+00	-1.123540e-01	-1.677640e+00	-2.880760e+00	-3.515425e+00	1.912316e+00	3.871883e+01	4.063115e+01
890	0.0991863	0.0505238	0.766433	7	-5.477291e+00	7.231643e-01	2.124763e+00	2.611637e+00	2.822415e+00	2.531895e+00	-1.368582e-01	-1.702156e+00	-2.893663e+00	-3.528328e+00	1.883244e+00	3.822726e+01	4.011051e+01
900	0.101253	0.0501645	0.718729	6	-5.466714e+00	7.337408e-01	2.135340e+00	2.622213e+00	2.832991e+00	2.542472e+00	-1.378606e-01	-1.703171e+00	-2.929684e+00	-3.564325e+00	1.869762e+00	3.438836e+01	3.625812e+01
910	0.0979597	0.0501645	0.73641	9	-5.456248e+00	7.442066e-01	2.145805e+00	2.632679e+00	2.843457e+00	2.552938e+00	-1.620103e-01	-1.727309e+00	-2.930713e+00	-3.588270e+00	1.902800e+00	3.729948e+01	3.920228e+01
920	0.101498	0.0501645	0.749423	6	-5.445891e+00	7.545641e-01	2.156163e+00	2.643036e+00	2.853815e+00	2.563295e+00	-1.857086e-01	-1.728327e+00	-2.943153e+00	-3.623615e+00	1.867332e+00	3.808470e+01	3.995204e+01
930	0.103494	0.0496867	0.749423	6	-5.435640e+00	7.648153e-01	2.166414e+00	2.653288e+00	2.864066e+00	2.573546e+00	-1.980104e-01	-1.751922e+00	-2.966737e+00	-3.635893e+00	1.857344e+00	3.765054e+01	3.950788e+01
940	0.0992445	0.049851	0.749423	7	-5.425492e+00	7.749625e-01	2.176561e+00	2.663435e+00	2.874213e+00	2.583693e+00	-2.102437e-01	-1.797556e+00	-2.990047e+00	-3.625746e+00	1.896072e+00	3.866251e+01	4.055858e+01
950	0.100784	0.0496871	0.736063	5	-5.415447e+00	7.850078e-01	2.186607e+00	2.673480e+00	2.884258e+00	2.571728e+00	-2.776303e-01	-1.798566e+00	-2.980002e+00	-3.615701e+00	1.883973e+00	3.839528e+01	4.027925e+01
960	0.0987352	0.0501562	0.737331	5	-5.405502e+00	7.949532e-01	2.196552e+00	2.683426e+00	2.894204e+00	2.559880e+00	-3.224879e-01	-1.810489e+00	-2.980991e+00	-3.605756e+00	1.895104e+00	3.765365e+01	3.954876e+01
970	0.0964308	0.0507127	0.780458	9	-5.395654e+00	8.048006e-01	2.206399e+00	2.693273e+00	2.904051e+00	2.569728e+00	-3.343904e-01	-1.822317e+00	-3.003624e+00	-3.628325e+00	1.907558e+00	3.820550e+01	4.011306e+01
980	0.0961013	0.0513916	0.749327	6	-5.385903e+00	8.145520e-01	2.216151e+00	2.703024e+00	2.913803e+00	2.568768e+00	-3.567402e-01	-1.833987e+00	-3.004614e+00	-3.650863e+00	1.897607e+00	3.443671e+01	3.633432e+01
990	0.0943121	0.0512591	0.767148	6	-5.376246e+00	8.242093e-01	2.225808e+00	2.712682e+00	2.923460e+00	2.546449e+00	-4.107284e-01	-1.834938e+00	-2.994957e+00	-3.641206e+00	1.918821e+00	3.777103e+01	3.968985e+01
1000	0.097855	0.0500816	0.765737	7	-5.366681e+00	8.337742e-01	2.235373e+00	2.722247e+00	2.933025e+00	2.545497e+00	-4.327628e-01	-1.867438e+00	-3.006425e+00	-3.631641e+00	1.905519e+00	3.830321e+01	4.020873e+01
1010	0.0995998	0.0505864	0.753684	7	-5.357207e+00	8.432484e-01	2.244847e+00	2.731721e+00	2.942499e+00	2.513236e+00	-4.753920e-01	-1.868341e+00	-2.996951e+00	-3.622167e+00	1.877848e+00	3.789395e+01	3.977180e+01
