Results of Simulation 1

Time	v1	v2
7.25	1.01959	4.7911
7.26	1.01857	4.78631
7.27	1.01755	4.78153
7.28	1.01653	4.77675
7.29	1.01552	4.77198
7.3	1.0145	4.76721
7.31	1.01349	4.76244
7.32	1.01247	4.75768
7.33	1.01146	4.75293
7.34	1.01045	4.74818
7.35	1.00944	4.74343
7.36	1.00843	4.73869
7.37	1.00743	4.73395
7.38	1.00642	4.72922
7.39	1.00541	4.72449
7.4	1.00441	4.71977
7.41	1.0034	4.71505
7.42	1.0024	4.71034
7.43	1.0014	4.70563
7.44	1.0004	4.70093
7.45	0.999398	4.69623
7.46	0.998399	4.69154
7.47	0.997401	4.68685
7.48	0.996404	4.68216
7.49	0.995408	4.67748
7.5	0.994413	4.67281
7.51	0.993419	4.66814
7.52	0.992427	4.66347
7.53	0.991435	4.65881
7.54	0.990444	4.65416
7.55	0.989454	4.6495
7.56	0.988465	4.64486
7.57	0.987477	4.64021
7.58	0.98649	4.63558
7.59	0.985504	4.63094
7.6	0.984519	4.62631
7.61	0.983535	4.62169
7.62	0.982552	4.61707
7.63	0.98157	4.61246
7.64	0.980589	4.60785
7.65	0.979609	4.60324
7.66	0.978629	4.59864
7.67	0.977651	4.59404
7.68	0.976674	4.58945
7.69	0.975698	4.58486
7.7	0.974723	4.58028
7.71	0.973748	4.5757
7.72	0.972775	4.57113
7.73	0.971803	4.56656
7.74	0.970832	4.562
7.75	0.969861	4.55744
7.76	0.968892	4.55288
7.77	0.967923	4.54833
7.78	0.966956	4.54379
7.79	0.96599	4.53924
7.8	0.965024	4.53471
7.81	0.964059	4.53017
7.82	0.963096	4.52565
7.83	0.962133	4.52112
7.84	0.961172	4.5166
7.85	0.960211	4.51209
7.86	0.959251	4.50758
7.87	0.958292	4.50307
7.88	0.957335	4.49857
7.89	0.956378	4.49408
7.9	0.955422	4.48959
7.91	0.954467	4.4851
7.92	0.953513	4.48062
7.93	0.95256	4.47614
7.94	0.951608	4.47166
7.95	0.950657	4.46719
7.96	0.949707	4.46273
7.97	0.948757	4.45827
7.98	0.947809	4.45381
7.99	0.946862	4.44936
8	0.945915	4.44491
8.01	0.94497	4.44047
8.02	0.944025	4.43603
8.03	0.943082	4.4316
8.04	0.942139	4.42717
8.05	0.941198	4.42274
8.06	0.940257	4.41832
8.07	0.939317	4.41391
8.08	0.938378	4.4095
8.09	0.93744	4.40509
8.1	0.936503	4.40069
8.11	0.935567	4.39629
8.12	0.934632	4.39189
8.13	0.933698	4.3875
8.14	0.932765	4.38312
8.15	0.931832	4.37874
8.16	0.930901	4.37436
8.17	0.929971	4.36999
8.18	0.929041	4.36562
8.19	0.928113	4.36126
8.2	0.927185	4.3569
8.21	0.926258	4.35254
8.22	0.925332	4.34819
8.23	0.924408	4.34385
8.24	0.923484	4.33951
8.25	0.922561	4.33517
8.26	0.921638	4.33084
8.27	0.920717	4.32651
8.28	0.919797	4.32218
8.29	0.918878	4.31786
8.3	0.917959	4.31355
8.31	0.917042	4.30924
8.32	0.916125	4.30493
8.33	0.91521	4.30063
8.34	0.914295	4.29633
8.35	0.913381	4.29203
8.36	0.912468	4.28774
8.37	0.911556	4.28346
8.38	0.910645	4.27918
8.39	0.909735	4.2749
8.4	0.908825	4.27063
8.41	0.907917	4.26636
8.42	0.90701	4.26209
8.43	0.906103	4.25783
8.44	0.905197	4.25358
8.45	0.904293	4.24933
8.46	0.903389	4.24508
8.47	0.902486	4.24084
8.48	0.901584	4.2366
8.49	0.900683	4.23236
8.5	0.899782	4.22813
8.51	0.898883	4.22391
8.52	0.897985	4.21968
8.53	0.897087	4.21547
8.54	0.896191	4.21125
8.55	0.895295	4.20704
8.56	0.8944	4.20284
8.57	0.893506	4.19864
8.58	0.892613	4.19444
8.59	0.891721	4.19025
8.6	0.890829	4.18606
8.61	0.889939	4.18188
8.62	0.88905	4.1777
8.63	0.888161	4.17352
8.64	0.887273	4.16935
8.65	0.886386	4.16518
8.66	0.8855	4.16102
8.67	0.884615	4.15686
8.68	0.883731	4.15271
8.69	0.882848	4.14856
8.7	0.881966	4.14441
8.71	0.881084	4.14027
8.72	0.880203	4.13613
8.73	0.879324	4.132
8.74	0.878445	4.12787
8.75	0.877567	4.12374
8.76	0.87669	4.11962
8.77	0.875813	4.1155
8.78	0.874938	4.11139
8.79	0.874063	4.10728
8.8	0.87319	4.10317
8.81	0.872317	4.09907
8.82	0.871445	4.09497
8.83	0.870574	4.09088
8.84	0.869704	4.08679
8.85	0.868835	4.08271
8.86	0.867966	4.07863
8.87	0.867099	4.07455
8.88	0.866232	4.07048
8.89	0.865366	4.06641
8.9	0.864501	4.06235
8.91	0.863637	4.05828
8.92	0.862774	4.05423
8.93	0.861912	4.05018
8.94	0.86105	4.04613
8.95	0.86019	4.04208
8.96	0.85933	4.03804
8.97	0.858471	4.03401
8.98	0.857613	4.02998
8.99	0.856756	4.02595
